date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2001-01-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.0,17.8728
2001-01-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,51.67,20.0758
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,77.29,30.0302
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,63.9,24.8277
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,81.5,31.666
2001-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,66.25,25.7407
2001-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,52.5,20.3983
2001-02-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.0,17.8766
2001-02-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.29,17.9893
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,82.36,32.0069
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,59.07,22.9559
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,82.36,32.0069
2001-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,66.0,25.649
2001-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.14,18.7082
2001-03-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,45.0,17.4911
2001-03-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.98,19.0381
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,73.22,28.4599
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,58.0,22.544
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,63.25,24.5847
2001-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,68.0,26.4309
2001-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,54.25,21.0865
2001-04-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,49.0,19.0421
